insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (1, '1997-07-18', 'Louise Moore', '4 Maywood Street', '2261.95', 'Female', 6, 19, 70);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (2, '1994-05-06', 'David Howell', '75311 Annamark Plaza', '4668.49', 'Male', 10, 92, 44);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (3, '1992-12-29', 'Teresa Lopez', '49046 Dennis Hill', '4456.82', 'Female', 1, 77, 52);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (4, '1993-02-10', 'Debra Shaw', '9 Merchant Court', '4389.08', 'Female', 3, 8, 24);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (5, '1982-07-07', 'Paula Patterson', '5989 Ridge Oak Pass', '1275.65', 'Female', 11, 44, 44);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (6, '1971-09-07', 'Louise Baker', '2864 Utah Hill', '4909.00', 'Female', 14, 94, 65);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (7, '1988-05-23', 'Barbara Ross', '370 Lyons Lane', '2844.50', 'Female', 16, 49, 74);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (8, '1974-12-04', 'Lillian Walker', '58 Moose Court', '4957.17', 'Female', 7, 31, 5);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (9, '1988-10-01', 'Donald Weaver', '2 Almo Drive', '2133.00', 'Male', 12, 75, 37);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (10, '1983-06-01', 'Ruby Hunter', '46 Comanche Way', '2228.21', 'Female', 13, 9, 35);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (11, '1982-09-18', 'Andrea Robinson', '44 Old Shore Road', '2344.12', 'Female', 2, 70, 45);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (12, '1995-01-27', 'Eric Romero', '9 Cherokee Court', '2339.96', 'Male', 7, 70, 52);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (13, '1970-12-13', 'Katherine Cook', '0781 Hayes Hill', '1970.57', 'Female', 19, 41, 75);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (14, '1990-09-30', 'Jesse Kelly', '518 Melvin Court', '1244.23', 'Male', 4, 96, 94);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (15, '1979-07-10', 'Rebecca Bennett', '6 Northview Center', '4366.00', 'Female', 13, 63, 2);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (16, '1990-11-03', 'Brandon Castillo', '9 Beilfuss Circle', '3386.83', 'Male', 15, 94, 77);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (17, '1979-10-04', 'Jose Gilbert', '4 Banding Terrace', '1965.37', 'Male', 10, 63, 7);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (18, '1988-11-15', 'Samuel Hunt', '99 Heffernan Plaza', '1243.19', 'Male', 3, 77, 80);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (19, '1987-05-05', 'Albert Evans', '60252 Center Avenue', '3981.53', 'Male', 15, 6, 40);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (20, '1992-02-22', 'Clarence Knight', '9851 Scoville Way', '1743.24', 'Male', 12, 9, 37);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (21, '1981-10-22', 'Louis Allen', '90 Harper Court', '1946.34', 'Male', 9, 24, 71);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (22, '1996-09-13', 'Brenda Payne', '86 Sherman Way', '3491.52', 'Female', 20, 4, 46);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (23, '1993-11-16', 'Sandra Lynch', '9 Talmadge Place', '1567.57', 'Female', 13, 65, 80);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (24, '1990-08-20', 'Henry Owens', '9272 Sunfield Junction', '3264.51', 'Male', 10, 48, 59);
insert into Employee (Ssn, Bdate, Name, Address, Salary, Sex, Works_for, Manages, Supervises) values (25, '1971-06-02', 'Eugene Bailey', '083 Donald Circle', '2740.11', 'Male', 3, 79, 13);
